"rgn_id","rgn_name","area_km2","Years_1986.1990","Years_1987.1991","Years_1988.1992","Years_1989.1993","Years_1990.1994","Years_1991.1995","Years_1992.1996","Years_1993.1997","Years_1994.1998","Years_1995.1999","Years_1996.2000","Years_1997.2001","Years_1998.2002","Years_1999.2003","Years_2000.2004","Years_2001.2005","Years_2002.2006","Years_2003.2007","Years_2004.2008","Years_2005.2009","Years_2006.2010","Years_2007.2011","Years_2008.2012"
1,"Rhode Island",1217.21580132382,0.0149286572996221,0.0834522156412768,0.0827456742275995,0.0752297459454814,0.112283645207582,0.151359305960857,0.0851315585749401,0.0961331814702071,0.127337916288622,0.227592972036889,0.179711949054713,0.212188302327256,0.303760897046322,0.293617731064216,0.164953204751568,0.19704806139878,0.263306011391718,0.231368672469723,0.263457302457023,0.277869631846227,0.307328920234504,0.288940971791443,0.421016332656601
2,"New York",4990.45497506818,0.00670718308234706,0.0647928016549047,0.0559446452713121,0.0525355263523869,0.0818334106106008,0.159165322117096,0.0959408054210299,0.11538383433529,0.180755469263355,0.214518994451028,0.128523548063609,0.189836976011877,0.320481142328933,0.253915611566528,0.19683834863501,0.238763436608662,0.276336181155302,0.223611782270786,0.257800458139089,0.271195209464676,0.311793876908225,0.305168541904728,0.483180314806119
3,"Connecticut",1525.36601429442,0.00849496554441723,0.0544041927174028,0.0383434188587086,0.0351820375324418,0.0545346607374613,0.124412732703744,0.0804625571624431,0.0934288133260784,0.182542113500284,0.230590977790549,0.142037759529036,0.190942246502469,0.322404786921636,0.228920353083688,0.154253563178268,0.222552540453732,0.265706832721269,0.243225439471686,0.283857991674547,0.307495856973103,0.334165811967761,0.333482557322381,0.491249017818452
4,"Massachusetts-Gulf of Maine",3461.91050949087,0.0181154498761872,0.0492854880926947,0.0359560676785944,0.0338607363447021,0.086943268507329,0.153732966585996,0.117307441209746,0.123154707145062,0.162884588391143,0.153478690432404,0.0999356466683413,0.162199038409207,0.293636970615753,0.294023453208899,0.249728784047759,0.248132218251091,0.273359032004268,0.224176288795967,0.248843540427092,0.285176837203057,0.389996182685054,0.4435975537572,0.635468449492705
5,"Massachusetts-Virginian",2944.9350065663,0.0170926240845346,0.062854669307662,0.0646720237940668,0.0649337018148588,0.113967492957502,0.174130332238404,0.11687136870117,0.111846444620544,0.16369054373917,0.188671523476175,0.142926971107247,0.207262876447853,0.330684829307147,0.284851388207221,0.192261024976629,0.187233590519788,0.202538971476389,0.159386992112075,0.183207662373668,0.212543612393606,0.304297567170749,0.357920180861822,0.558265479285229
6,"New Hampshire",221.298712927,0.00275421269256623,0.00931846965918975,0.000282359691294745,0,0.0198693243357962,0.0767392683005368,0.0567714840984965,0.0810052940669367,0.114286920942413,0.109241898475742,0.0774609990772945,0.150402166072908,0.266780498094092,0.288944001709431,0.243838702086359,0.257623012996608,0.288613065138213,0.25296393326976,0.25515607633035,0.273191022730088,0.36754540798135,0.403307021216784,0.590358315068954
7,"Maine",7574.62765559947,0.0187042162757414,0.0130613364836001,0.00765370030702591,0.00835622248763685,0.0502860244851601,0.131739658074224,0.128040269625181,0.133326108550865,0.147427565975077,0.151754872334818,0.11978028074645,0.151886854595397,0.239377207642153,0.237168767597585,0.148205170203708,0.0934240713287229,0.19014889902667,0.154496543652939,0.157418732373306,0.198655600564405,0.316401935654093,0.30772847432627,0.561368050006827
8,"Gulf of Maine/Bay of Fundy",127721.888154649,0.0151373742972282,0.0170584054506977,0.0181591733808923,0.0208180202783552,0.072252099532331,0.10337830537837,0.0827619157364149,0.0851468885463303,0.085570545480206,0.139969296038669,0.15198048630565,0.208071791245561,0.313233507741094,0.321488441291906,0.183322650467561,0.135467826362082,0.165536263836624,0.119593255992398,0.158217995990969,0.225640820905618,0.292798067424233,0.318296252998197,0.568790116111213
9,"Virginian",129906.674637389,0.00872206302205643,0.0243793042103787,0.021208073163877,0.0209228207116336,0.0346116699041859,0.0562057057674747,0.0315194956619381,0.0407023847513947,0.0538431544833327,0.0769061249400577,0.0577747529978565,0.104734145781341,0.170942946342461,0.165513079244,0.0975818228690909,0.0963656250682635,0.114173932513369,0.0684756839501582,0.126548767089425,0.183411726643128,0.208580773565158,0.212846521018187,0.404938070052633
