"","state","year","rgn_id","rgn_name","ref"
"1","Connecticut",2010,3,"Connecticut",43921.8
"2","Maine",2010,7,"Maine",42434
"3","Rhode Island",2010,1,"Rhode Island",38780.4
"4","Massachusetts",2010,4,"Massachusetts-Gulf of Maine",32834.6
"5","Massachusetts",2010,5,"Massachusetts-Virginian",15325.4
"6","New Hampshire",2010,6,"New Hampshire",7764.2
"7","New York",2010,2,"New York",247471
"8","Connecticut",2011,3,"Connecticut",44232.6
"9","Maine",2011,7,"Maine",42692.6
"10","Rhode Island",2011,1,"Rhode Island",38594.6
"11","Massachusetts",2011,4,"Massachusetts-Gulf of Maine",33153.3
"12","Massachusetts",2011,5,"Massachusetts-Virginian",15418.1
"13","New Hampshire",2011,6,"New Hampshire",7720.4
"14","New York",2011,2,"New York",254595.6
"15","Connecticut",2012,3,"Connecticut",44793.2
"16","Maine",2012,7,"Maine",43367.4
"17","Rhode Island",2012,1,"Rhode Island",38542
"18","Massachusetts",2012,4,"Massachusetts-Gulf of Maine",33999.8
"19","Massachusetts",2012,5,"Massachusetts-Virginian",15645.1
"20","New Hampshire",2012,6,"New Hampshire",7531
"21","New York",2012,2,"New York",264290.6
"22","Connecticut",2013,3,"Connecticut",45534
"23","Maine",2013,7,"Maine",44104.8
"24","Rhode Island",2013,1,"Rhode Island",38549.8
"25","Massachusetts",2013,4,"Massachusetts-Gulf of Maine",34660.4
"26","Massachusetts",2013,5,"Massachusetts-Virginian",15578.8
"27","New Hampshire",2013,6,"New Hampshire",7598.8
"28","New York",2013,2,"New York",275045.8
"29","Connecticut",2014,3,"Connecticut",46625.6
"30","Maine",2014,7,"Maine",44651.2
"31","Rhode Island",2014,1,"Rhode Island",38859.4
"32","Massachusetts",2014,4,"Massachusetts-Gulf of Maine",35228.6
"33","Massachusetts",2014,5,"Massachusetts-Virginian",15471.2
"34","New Hampshire",2014,6,"New Hampshire",7760.6
"35","New York",2014,2,"New York",287176.8
