"","year","rgn_id","rgn_name","coast_job_growth","us_job_growth"
"1",2005,5,"Connecticut",NA,0.0244141022358735
"2",2005,6,"Maine",NA,0.0244141022358735
"3",2005,10,"New York",NA,0.0244141022358735
"4",2005,11,"Rhode Island",NA,0.0244141022358735
"5",2005,7,"Massachusetts-Gulf of Maine",NA,0.0244141022358735
"6",2005,8,"Massachusetts-Virginian",NA,0.0244141022358735
"7",2005,9,"New Hampshire",NA,0.0244141022358735
"8",2006,5,"Connecticut",NA,0.0330786586544525
"9",2006,6,"Maine",NA,0.0330786586544525
"10",2006,10,"New York",NA,0.0330786586544525
"11",2006,11,"Rhode Island",NA,0.0330786586544525
"12",2006,7,"Massachusetts-Gulf of Maine",NA,0.0330786586544525
"13",2006,8,"Massachusetts-Virginian",NA,0.0330786586544525
"14",2006,9,"New Hampshire",NA,0.0330786586544525
"15",2007,5,"Connecticut",NA,0.0289211004602261
"16",2007,6,"Maine",NA,0.0289211004602261
"17",2007,10,"New York",NA,0.0289211004602261
"18",2007,11,"Rhode Island",NA,0.0289211004602261
"19",2007,7,"Massachusetts-Gulf of Maine",NA,0.0289211004602261
"20",2007,8,"Massachusetts-Virginian",NA,0.0289211004602261
"21",2007,9,"New Hampshire",NA,0.0289211004602261
"22",2008,5,"Connecticut",0.0370826091637573,0.00909598967729153
"23",2008,6,"Maine",0.0376292463834818,0.00909598967729153
"24",2008,10,"New York",0.0743180213131516,0.00909598967729153
"25",2008,11,"Rhode Island",0.0142353323860231,0.00909598967729153
"26",2008,7,"Massachusetts-Gulf of Maine",0.044547988459577,0.00909598967729153
"27",2008,8,"Massachusetts-Virginian",0.0340844925825163,0.00909598967729153
"28",2008,9,"New Hampshire",-0.0451804706473495,0.00909598967729153
"29",2009,5,"Connecticut",0.014912586617337,-0.04500450747466
"30",2009,6,"Maine",0.00397053157948535,-0.04500450747466
"31",2009,10,"New York",0.0310904701116319,-0.04500450747466
"32",2009,11,"Rhode Island",-0.0423309183872804,-0.04500450747466
"33",2009,7,"Massachusetts-Gulf of Maine",0.00396633253319867,-0.04500450747466
"34",2009,8,"Massachusetts-Virginian",0.00163666121112915,-0.04500450747466
"35",2009,9,"New Hampshire",-0.0739915029655491,-0.04500450747466
"36",2010,5,"Connecticut",0.00368754778072589,-0.0384128995844063
"37",2010,6,"Maine",0.0235564089355125,-0.0384128995844063
"38",2010,10,"New York",0.0498078292345601,-0.0384128995844063
"39",2010,11,"Rhode Island",-0.032084736612078,-0.0384128995844063
"40",2010,7,"Massachusetts-Gulf of Maine",0.0109316408957656,-0.0384128995844063
"41",2010,8,"Massachusetts-Virginian",-0.0751041877402386,-0.0384128995844063
"42",2010,9,"New Hampshire",-0.0174019500677715,-0.0384128995844063
"43",2011,5,"Connecticut",0.0261152049354385,-0.00766972818613543
"44",2011,6,"Maine",0.0397187805610528,-0.00766972818613543
"45",2011,10,"New York",0.085267072116272,-0.00766972818613543
"46",2011,11,"Rhode Island",0.00332086917867325,-0.00766972818613543
"47",2011,7,"Massachusetts-Gulf of Maine",0.0810354586989044,-0.00766972818613543
"48",2011,8,"Massachusetts-Virginian",-0.0461054513560923,-0.00766972818613543
"49",2011,9,"New Hampshire",-0.0245653143111904,-0.00766972818613543
"50",2012,5,"Connecticut",0.0553833406082846,0.0239730714474327
"51",2012,6,"Maine",0.0432576952080619,0.0239730714474327
"52",2012,10,"New York",0.107484721215146,0.0239730714474327
"53",2012,11,"Rhode Island",0.0470582021759798,0.0239730714474327
"54",2012,7,"Massachusetts-Gulf of Maine",0.0757380920275865,0.0239730714474327
"55",2012,8,"Massachusetts-Virginian",0.00581951736802622,0.0239730714474327
"56",2012,9,"New Hampshire",0.121643612693247,0.0239730714474327
"57",2013,5,"Connecticut",0.0951156812339333,0.0333670752329516
"58",2013,6,"Maine",0.034113996115291,0.0333670752329516
"59",2013,10,"New York",0.104169885726186,0.0333670752329516
"60",2013,11,"Rhode Island",0.0644943761941401,0.0333670752329516
"61",2013,7,"Massachusetts-Gulf of Maine",0.0514765285658616,0.0333670752329516
"62",2013,8,"Massachusetts-Virginian",-0.0135671250076292,0.0333670752329516
"63",2013,9,"New Hampshire",0.0943396226415094,0.0333670752329516
"64",2014,5,"Connecticut",0.060792259517471,0.0373723624710935
"65",2014,6,"Maine",0.0334866403854577,0.0373723624710935
"66",2014,10,"New York",0.111819098427609,0.0373723624710935
"67",2014,11,"Rhode Island",0.0646128520195191,0.0373723624710935
"68",2014,7,"Massachusetts-Gulf of Maine",0.0508468867878313,0.0373723624710935
"69",2014,8,"Massachusetts-Virginian",0.060322654021802,0.0373723624710935
"70",2014,9,"New Hampshire",0.044631684324685,0.0373723624710935
"71",2015,5,"Connecticut",0.0455412814448506,0.0402623535205733
"72",2015,6,"Maine",0.0445523921760249,0.0402623535205733
"73",2015,10,"New York",0.102399095671131,0.0402623535205733
"74",2015,11,"Rhode Island",0.0462239212656066,0.0402623535205733
"75",2015,7,"Massachusetts-Gulf of Maine",0.109338330379807,0.0402623535205733
"76",2015,8,"Massachusetts-Virginian",0.137352775261115,0.0402623535205733
"77",2015,9,"New Hampshire",0.0504614647009469,0.0402623535205733
"78",2005,1,"Offshore",NA,NA
"79",2005,2,"Georges Bank",NA,NA
"80",2005,3,"Gulf of Maine",NA,NA
"81",2005,4,"Mid-Atlantic Bight",NA,NA
"82",2006,1,"Offshore",NA,NA
"83",2006,2,"Georges Bank",NA,NA
"84",2006,3,"Gulf of Maine",NA,NA
"85",2006,4,"Mid-Atlantic Bight",NA,NA
"86",2007,1,"Offshore",NA,NA
"87",2007,2,"Georges Bank",NA,NA
"88",2007,3,"Gulf of Maine",NA,NA
"89",2007,4,"Mid-Atlantic Bight",NA,NA
"90",2008,1,"Offshore",NA,NA
"91",2008,2,"Georges Bank",NA,NA
"92",2008,3,"Gulf of Maine",NA,NA
"93",2008,4,"Mid-Atlantic Bight",NA,NA
"94",2009,1,"Offshore",NA,NA
"95",2009,2,"Georges Bank",NA,NA
"96",2009,3,"Gulf of Maine",NA,NA
"97",2009,4,"Mid-Atlantic Bight",NA,NA
"98",2010,1,"Offshore",NA,NA
"99",2010,2,"Georges Bank",NA,NA
"100",2010,3,"Gulf of Maine",NA,NA
"101",2010,4,"Mid-Atlantic Bight",NA,NA
"102",2011,1,"Offshore",NA,NA
"103",2011,2,"Georges Bank",NA,NA
"104",2011,3,"Gulf of Maine",NA,NA
"105",2011,4,"Mid-Atlantic Bight",NA,NA
"106",2012,1,"Offshore",NA,NA
"107",2012,2,"Georges Bank",NA,NA
"108",2012,3,"Gulf of Maine",NA,NA
"109",2012,4,"Mid-Atlantic Bight",NA,NA
"110",2013,1,"Offshore",NA,NA
"111",2013,2,"Georges Bank",NA,NA
"112",2013,3,"Gulf of Maine",NA,NA
"113",2013,4,"Mid-Atlantic Bight",NA,NA
"114",2014,1,"Offshore",NA,NA
"115",2014,2,"Georges Bank",NA,NA
"116",2014,3,"Gulf of Maine",NA,NA
"117",2014,4,"Mid-Atlantic Bight",NA,NA
"118",2015,1,"Offshore",NA,NA
"119",2015,2,"Georges Bank",NA,NA
"120",2015,3,"Gulf of Maine",NA,NA
"121",2015,4,"Mid-Atlantic Bight",NA,NA
