year,state,annual_wage,rgn_id,rgn_name
2014,Massachusetts,64103,4,Massachusetts-Gulf of Maine
2014,Massachusetts,64103,5,Massachusetts-Virginian
2013,Massachusetts,61790,4,Massachusetts-Gulf of Maine
2013,Massachusetts,61790,5,Massachusetts-Virginian
2012,Massachusetts,60898,4,Massachusetts-Gulf of Maine
2012,Massachusetts,60898,5,Massachusetts-Virginian
2011,Massachusetts,59671,4,Massachusetts-Gulf of Maine
2011,Massachusetts,59671,5,Massachusetts-Virginian
2010,Massachusetts,57770,4,Massachusetts-Gulf of Maine
2010,Massachusetts,57770,5,Massachusetts-Virginian
2009,Massachusetts,56267,4,Massachusetts-Gulf of Maine
2009,Massachusetts,56267,5,Massachusetts-Virginian
2008,Massachusetts,56746,4,Massachusetts-Gulf of Maine
2008,Massachusetts,56746,5,Massachusetts-Virginian
2007,Massachusetts,55244,4,Massachusetts-Gulf of Maine
2007,Massachusetts,55244,5,Massachusetts-Virginian
2006,Massachusetts,52435,4,Massachusetts-Gulf of Maine
2006,Massachusetts,52435,5,Massachusetts-Virginian
2005,Massachusetts,50095,4,Massachusetts-Gulf of Maine
2005,Massachusetts,50095,5,Massachusetts-Virginian
2014,Maine,40442,7,Maine
2013,Maine,39279,7,Maine
2012,Maine,38606,7,Maine
2011,Maine,38020,7,Maine
2010,Maine,37338,7,Maine
2009,Maine,36617,7,Maine
2008,Maine,36317,7,Maine
2007,Maine,35129,7,Maine
2006,Maine,33794,7,Maine
2005,Maine,32701,7,Maine
2014,New Hampshire,51165,6,New Hampshire
2013,New Hampshire,48963,6,New Hampshire
2012,New Hampshire,48272,6,New Hampshire
2011,New Hampshire,47281,6,New Hampshire
2010,New Hampshire,45957,6,New Hampshire
2009,New Hampshire,44932,6,New Hampshire
2008,New Hampshire,44912,6,New Hampshire
2007,New Hampshire,43863,6,New Hampshire
2006,New Hampshire,42447,6,New Hampshire
2005,New Hampshire,40551,6,New Hampshire
2014,Connecticut,63919,3,Connecticut
2013,Connecticut,62357,3,Connecticut
2012,Connecticut,62085,3,Connecticut
2011,Connecticut,61145,3,Connecticut
2010,Connecticut,59465,3,Connecticut
2009,Connecticut,57771,3,Connecticut
2008,Connecticut,58395,3,Connecticut
2007,Connecticut,58029,3,Connecticut
2006,Connecticut,54814,3,Connecticut
2005,Connecticut,52954,3,Connecticut
2014,Rhode Island,49297,1,Rhode Island
2013,Rhode Island,47732,1,Rhode Island
2012,Rhode Island,46716,1,Rhode Island
2011,Rhode Island,45705,1,Rhode Island
2010,Rhode Island,44645,1,Rhode Island
2009,Rhode Island,43439,1,Rhode Island
2008,Rhode Island,43029,1,Rhode Island
2007,Rhode Island,41646,1,Rhode Island
2006,Rhode Island,40454,1,Rhode Island
2005,Rhode Island,38751,1,Rhode Island
2014,New York,65880,2,New York
2013,New York,63089,2,New York
2012,New York,62669,2,New York
2011,New York,61792,2,New York
2010,New York,60291,2,New York
2009,New York,57739,2,New York
2008,New York,60288,2,New York
2007,New York,59439,2,New York
2006,New York,55479,2,New York
2005,New York,51937,2,New York
