rgn_id,year,a_prot_3nm
1,2000,36921.5
1,2001,36938
1,2002,36988.75
1,2003,36989
1,2004,36995.25
1,2005,36995.5
1,2006,38823.75
1,2007,38886.5
1,2008,38888
1,2009,38889
1,2010,39373
1,2011,39430.25
1,2012,39969.5
1,2013,39969.5
1,2014,39969.5
1,2015,39969.5
1,2016,39969.5
1,2017,39969.5
2,2000,36921.5
2,2001,36938
2,2002,36988.75
2,2003,36989
2,2004,36995.25
2,2005,36995.5
2,2006,38823.75
2,2007,38886.5
2,2008,38888
2,2009,38889
2,2010,39373
2,2011,39430.25
2,2012,39969.5
2,2013,39969.5
2,2014,39969.5
2,2015,39969.5
2,2016,39969.5
2,2017,39969.5
3,2000,36921.5
3,2001,36938
3,2002,36988.75
3,2003,36989
3,2004,36995.25
3,2005,36995.5
3,2006,38823.75
3,2007,38886.5
3,2008,38888
3,2009,38889
3,2010,39373
3,2011,39430.25
3,2012,39969.5
3,2013,39969.5
3,2014,39969.5
3,2015,39969.5
3,2016,39969.5
3,2017,39969.5
4,2000,36921.5
4,2001,36938
4,2002,36988.75
4,2003,36989
4,2004,36995.25
4,2005,36995.5
4,2006,38823.75
4,2007,38886.5
4,2008,38888
4,2009,38889
4,2010,39373
4,2011,39430.25
4,2012,39969.5
4,2013,39969.5
4,2014,39969.5
4,2015,39969.5
4,2016,39969.5
4,2017,39969.5
5,2000,36921.5
5,2001,36938
5,2002,36988.75
5,2003,36989
5,2004,36995.25
5,2005,36995.5
5,2006,38823.75
5,2007,38886.5
5,2008,38888
5,2009,38889
5,2010,39373
5,2011,39430.25
5,2012,39969.5
5,2013,39969.5
5,2014,39969.5
5,2015,39969.5
5,2016,39969.5
5,2017,39969.5
6,2000,36921.5
6,2001,36938
6,2002,36988.75
6,2003,36989
6,2004,36995.25
6,2005,36995.5
6,2006,38823.75
6,2007,38886.5
6,2008,38888
6,2009,38889
6,2010,39373
6,2011,39430.25
6,2012,39969.5
6,2013,39969.5
6,2014,39969.5
6,2015,39969.5
6,2016,39969.5
6,2017,39969.5
7,2000,36921.5
7,2001,36938
7,2002,36988.75
7,2003,36989
7,2004,36995.25
7,2005,36995.5
7,2006,38823.75
7,2007,38886.5
7,2008,38888
7,2009,38889
7,2010,39373
7,2011,39430.25
7,2012,39969.5
7,2013,39969.5
7,2014,39969.5
7,2015,39969.5
7,2016,39969.5
7,2017,39969.5
8,2000,36921.5
8,2001,36938
8,2002,36988.75
8,2003,36989
8,2004,36995.25
8,2005,36995.5
8,2006,38823.75
8,2007,38886.5
8,2008,38888
8,2009,38889
8,2010,39373
8,2011,39430.25
8,2012,39969.5
8,2013,39969.5
8,2014,39969.5
8,2015,39969.5
8,2016,39969.5
8,2017,39969.5
9,2000,36921.5
9,2001,36938
9,2002,36988.75
9,2003,36989
9,2004,36995.25
9,2005,36995.5
9,2006,38823.75
9,2007,38886.5
9,2008,38888
9,2009,38889
9,2010,39373
9,2011,39430.25
9,2012,39969.5
9,2013,39969.5
9,2014,39969.5
9,2015,39969.5
9,2016,39969.5
9,2017,39969.5
