"State","County","rgn_name","rgn_id","area_km2","rgn_abrev"
"Massachusetts","Barnstable","Massachusetts-Gulf of Maine",4,3462,MA
"Massachusetts","Barnstable","Massachusetts-Virginian",5,2945,MA
"Massachusetts","Bristol","Massachusetts-Virginian",5,2945,MA
"Massachusetts","Nantucket","Massachusetts-Virginian",5,2945,MA
"Massachusetts","Dukes","Massachusetts-Virginian",5,2945,MA
"Massachusetts","Plymouth","Massachusetts-Virginian",5,2945,MA
"Massachusetts","Plymouth","Massachusetts-Gulf of Maine",4,3462,MA
"Massachusetts","Norfolk","Massachusetts-Gulf of Maine",4,3462,MA
"Massachusetts","Essex","Massachusetts-Gulf of Maine",4,3462,MA
"Massachusetts","Suffolk","Massachusetts-Gulf of Maine",4,3462,MA
"Massachusetts","Middlesex","Massachusetts-Gulf of Maine",4,3462,MA
